House_count,ad_area,ad_name,ad_region,address,bank,build_area,build_category,build_count,decoration,delivery_time,developer,fang_url,features,floor_description,greening_rate,hospital,house_tag,img_list,land_area,mall,opening_time,parking_count,presale_permit,price_description,price_start,price_time,price_unit,project_description,property_category,property_company,property_costs,property_costs_description,property_years,sales_address,sales_status,school,show_price,traffic,volume_rate
,东湖高新区,康桥知园,,[三至四环]东湖高新区流芳路与富士康西路交汇处南行200米,,,,,,,,http://kangqiaozhiyuan2.fang.com/,,,,,,,,,,,,,,,,,普通住宅,,,,,,待售,,,,
,东湖高新区,和昌光谷未来城,,[二至三环]东湖高新区高新二路和光谷一路交汇处,,,,,,,,http://guangguweilaichenghc.fang.com/,"叠拼,山景地产",,,,,,,,,,,,,,,,普通住宅,,,,,,待售,,17000,,
,东湖高新区,绿地光谷中心城,,[三至四环]东湖高新区神墩三路与光谷五路交汇处（政务服务中心南300米）,,,,,,,,http://guangguzhongxinchengld.fang.com/,,,,,,,,,,,,,,,,,普通住宅,,,,,,待售,,价格待定,,
,东湖高新区,亿德光谷先锋,,[内至二环]东湖高新区SBI创业街关山派出所旁,,,,,,,,http://yideguangguxianfeng.fang.com/,,,,,,,,,,,,,,,,,商住公寓,,,,,,待售,,20000,,
,东湖高新区,国采光立方,,[三至四环]东湖高新区高新大道与光谷六路交汇处（东湖高新管委会东侧）,,,,,,,,http://guocaiguanglifang.fang.com/,花园洋房,,,,,,,,,,,,,,,,普通住宅,,,,,,在售,,30000,,
,东湖高新区,中建东湖锦城,,[二至三环]东湖高新区武汉市东湖高新区湖口二路与教育西路交汇处,,,,,,,,http://donghujinchengzj.fang.com/,,,,,,,,,,,,,,,,,普通住宅,,,,,,待售,,价格待定,,
,东湖高新区,保利时代,,[二至三环]东湖高新区关山大道332号(新竹路与关山大道交汇处),,,,,,,,http://baolishidai.fang.com/,品牌地产,,,,,,,,,,,,,,,,商住楼,,,,,,待售,,价格待定,,
,东湖高新区,中建光谷之星,,[三至四环]东湖高新区高新大道与光谷六路交汇处（东湖高新管委会东侧）,,,,,,,,http://guangguzhixingzj.fang.com/,地铁沿线,,,,,,,,,,,,,,,,商住楼,,,,,,待售,,价格待定,,
,东湖高新区,碧桂园生态城东境,,[三至四环]东湖高新区花山生态新城（花山大道与花城大道交汇处）,,,,,,,,http://dongjingshengtaichengbgy.fang.com/,"叠拼,品牌地产",,,,,,,,,,,,,,,,普通住宅,,,,,,待售,,价格待定,,
,东湖高新区,光谷坐标城九台,,[二至三环]东湖高新区关山大道与南湖大道交汇处（光谷天地旁）,,,,,,,,http://jiutaiggzbc.fang.com/,特色别墅,,,,,,,,,,,,,,,,别墅,,,,,,在售,,35000,,
,东湖高新区,,,[二至三环]东湖高新区关山大道与南湖大道交汇处（光谷天地旁）,,,,,,,,http://jiutaiggzbc.fang.com/,特色别墅,,,,,,,,,,,,,,,,别墅,,,,,,在售,,,,
,东湖高新区,光谷新界,,[三至四环]东湖高新区高新大道888号（高新大道与光谷七路交汇处）,,,,,,,,http://guangguxinjie.fang.com/,小户型,,,,,,,,,,,,,,,,普通住宅,,,,,,在售,,16000,,
,东湖高新区,联投佩尔创意SOHO,,[中环以外]东湖高新区光谷大道与流芳大道交汇处（湖北经济学院南侧）,,,,,,,,http://chuangyisoholtpe.fang.com/,,,,,,,,,,,,,,,,,总部园区,,,,,,在售,,5300,,
,东湖高新区,碧桂园生态城别墅,,[中环以外]东湖高新区花山生态新城严西湖大桥东侧桥头（花城大道与花山大道交汇处）,,,,,,,,http://shengtaichengbieshubgy.fang.com/,"低密居所,特色别墅",,,,,,,,,,,,,,,,别墅,,,,,,在售,,35000,,
,东湖高新区,国创光谷上城,,[二至三环]东湖高新区高新大道与教育中路交汇处（光谷九小旁）,,,,,,,,http://guanggushangchenggc.fang.com/,"花园洋房,地铁沿线",,,,,,,,,,,,,,,,普通住宅,,,,,,在售,,17500,,
,东湖高新区,金地天悦,,[二至三环]东湖高新区康泰路与荣院路交汇处（洪山高中旁）,,,,,,,,http://jinditianyue.fang.com/,,,,,,,,,,,,,,,,,普通住宅,,,,,,在售,,22000,,
,东湖高新区,天祥尚府博墅,,[中环以外]东湖高新区民族大道与庙山中路交汇处以西1公里（湿地公园旁）,,,,,,,,http://tianxiangshangfuboshu.fang.com/,,,,,,,,,,,,,,,,,别墅,,,,,,在售,,400,,
